"Spices, cloves, ground",65.53,33.9,2.38,6.5,"1 tbsp",2.1,"1 tsp"
"Spices, coriander leaf, dried",52.1,10.4,7.27,1.8,"1 tbsp",0.6,"1 tsp"
"Spices, coriander seed",54.99,41.9,,5,"1 tbsp",1.8,"1 tsp"
"Spices, cumin seed",44.24,10.5,2.25,6,"1 tbsp, whole",2.1,"1 tsp, whole"
"Spices, curry powder",58.15,33.2,2.76,6.3,"1 tbsp",2,"1 tsp"
"Spices, dill seed",55.17,21.1,,6.6,"1 tbsp",2.1,"1 tsp"
"Spices, dill weed, dried",55.82,13.6,,3.1,"1 tbsp",1,"1 tsp"
"Spices, fennel seed",52.29,39.8,,5.8,"1 tbsp, whole",2,"1 tsp, whole"
"Spices, fenugreek seed",58.35,24.6,,11.1,"1 tbsp",3.7,"1 tsp"
"Spices, garlic powder",72.73,9,2.43,9.7,"1 tbsp",3.1,"1 tsp"
"Spices, ginger, ground",71.62,14.1,3.39,5.2,"1 tbsp",1.8,"1 tsp"
"Spices, mace, ground",50.5,20.2,,5.3,"1 tbsp",1.7,"1 tsp"
"Spices, marjoram, dried",60.56,40.3,4.09,1.7,"1 tbsp",0.6,"1 tsp"
"Spices, mustard seed, ground",28.09,12.2,6.79,6.3,"1 tbsp",2,"1 tsp"
"Spices, nutmeg, ground",49.29,20.8,28.49,7,"1 tbsp",2.2,"1 tsp"
"Spices, onion powder",79.12,15.2,6.63,6.9,"1 tbsp",2.4,"1 tsp"
"Spices, oregano, dried",68.92,42.5,4.09,1,"1 tsp, leaves",1.8,"1 tsp, ground"
"Spices, paprika",53.99,34.9,10.34,6.8,"1 tbsp",2.3,"1 tsp"
"Spices, parsley, dried",50.64,26.7,7.27,0.5,"1 tsp",1.6,"1 tbsp"
"Spices, pepper, black",63.95,25.3,0.64,6.9,"1 tbsp, ground",2.3,"1 tsp, ground"
"Spices, pepper, red or cayenne",56.63,27.2,10.34,5.3,"1 tbsp",1.8,"1 tsp"
"Spices, pepper, white",68.61,26.2,,7.1,"1 tbsp, ground",2.4,"1 tsp, ground"
"Spices, poppy seed",28.13,19.5,2.99,8.8,"1 tbsp",2.8,"1 tsp"
"Spices, poultry seasoning",65.59,11.3,3.08,4.4,"1 tbsp",1.5,"1 tsp"
"Spices, pumpkin pie spice",69.28,14.8,7.76,5.6,"1 tbsp",1.7,"1 tsp"
"Spices, rosemary, dried",64.06,42.6,,3.3,"1 tbsp",1.2,"1 tsp"
"Spices, saffron",65.37,3.9,,2.1,"1 tbsp",0.7,"1 tsp"
"Spices, sage, ground",60.73,40.3,1.71,2,"1 tbsp",0.7,"1 tsp"
"Spices, savory, ground",68.73,45.7,,4.4,"1 tbsp",1.4,"1 tsp"
"Spices, tarragon, dried",50.22,7.4,,0.6,"1 tsp, leaves",1.8,"1 tbsp, leaves"
"Spices, thyme, dried",63.94,37,1.71,1,"1 tsp, leaves",2.7,"1 tbsp, leaves"
"Spices, turmeric, ground",64.93,21.1,3.21,6.8,"1 tbsp",2.2,"1 tsp"
"Basil, fresh",2.65,1.6,0.3,5.3,"2 tbsp, chopped",2.5,"5 leaves"
"Dill weed, fresh",7.02,2.1,,8.9,"1 cup, sprigs",1,"5 sprigs"
"Mustard, prepared, yellow",5.33,3.3,0.86,5,"1 tsp,  or 1 packet",249,"1 cup"
"Salt, table",0,0,0,292,"1 cup",18,"1 tbsp"
"Vinegar, cider",0.93,0,0.4,239,"1 cup",14.9,"1 tbsp"
"Thyme, fresh",24.45,14,,0.8,"1 tsp",0.4,".5 tsp"
"Vanilla extract",12.65,0,12.65,208,"1 cup",13,"1 tbsp"
"Vanilla extract, imitation, alcohol",2.41,0,,13,"1 tbsp",4.2,"1 tsp"
"Vanilla extract, imitation, no alcohol",14.4,0,14.4,13,"1 tbsp",4.2,"1 tsp"
"Vinegar, distilled",0.04,0,0.04,238,"1 cup",14.9,"1 tbsp"
"Capers, canned",4.89,3.2,0.41,8.6,"1 tbsp,  drained",,
"Horseradish, prepared",11.29,3.3,7.99,15,"1 tbsp",5,"1 tsp"
"Rosemary, fresh",20.7,14.1,,1.7,"1 tbsp",0.7,"1 tsp"
"Peppermint, fresh",14.89,8,,3.2,"2 tbsp",0.1,"2 leaves"
"Spearmint, fresh",8.41,6.8,,11.4,"2 tbsp",0.3,"2 leaves"
